date,value
1.73E+12,66332.99
1.73E+12,68440.734
1.73E+12,68450.67
1.73E+12,64789.293
1.73E+12,67938.36
1.73E+12,66448.69
1.73E+12,68502.3
1.73E+12,67054.914
1.73E+12,70180.87
1.73E+12,68374.13
1.73E+12,69884.28
1.73E+12,66999.85
1.73E+12,70096.305
1.73E+12,66462.66
1.73E+12,67905.24
1.73E+12,63240.49
1.73E+12,65508.68
1.73E+12,64862.32
1.73E+12,67117.164
1.73E+12,68293.66
1.73E+12,66491.87
1.73E+12,67428.5
1.73E+12,65064.703
1.73E+12,66130.34
1.73E+12,68184.21
1.73E+12,62749.18
1.73E+12,67631.84
1.73E+12,68791.875
1.73E+12,64026.125
1.73E+12,66587.45
1.73E+12,64630.812
1.73E+12,66342.89
1.73E+12,68416.266
1.73E+12,67028.28
1.73E+12,64804.99
1.73E+12,67851.85
1.73E+12,64828.355
1.73E+12,64879.42
1.73E+12,64176.83
1.73E+12,60836.254
1.73E+12,66915.01
1.73E+12,64520.492
1.73E+12,88656.77
1.73E+12,100411.555
1.73E+12,101999.06
1.73E+12,94823.57
1.73E+12,95726.78
1.73E+12,91297.69
1.73E+12,93754.734
1.73E+12,88721.57
1.73E+12,99463.29
1.73E+12,97581.3
1.73E+12,100943.56
1.73E+12,102596.4
1.73E+12,93722.016
1.73E+12,102452.055
1.73E+12,104402.805
1.73E+12,103775.58
1.73E+12,105617.1
1.73E+12,100152.76
1.73E+12,105345.914
1.73E+12,102037.97
1.73E+12,99514.875
1.73E+12,98845.88
1.73E+12,95766.87
1.73E+12,99904.164
1.73E+12,99508.51
1.73E+12,95443.516
1.73E+12,95470.02
1.73E+12,97399.64
1.73E+12,95281.44
1.73E+12,98968.92
1.73E+12,102303.16
1.73E+12,102701.94
1.73E+12,102418.664
1.73E+12,100246.27
1.73E+12,104005.086
1.73E+12,103293.555
1.73E+12,102680.06
1.73E+12,95922.875
1.73E+12,95283.49
1.73E+12,100764.55
1.73E+12,93911.95
1.73E+12,97531.56
1.73E+12,96571.484
1.73E+12,100352.71
1.73E+12,103172.53
1.73E+12,97477.68
1.73E+12,101169.445
1.73E+12,100149.62
1.73E+12,102721.27
1.73E+12,100387.49
1.73E+12,104565.31
1.73E+12,100058.71
1.73E+12,99491.95
