date,F1,F2,F3,F4,F5,OT
2020/1/4 12:00,0.150641026,0.538011696,0.277777778,0.160493827,0.152,0.13160793
2020/1/4 13:00,0.163461538,0.385964912,0.307692308,0.185185185,0.2,0.17345815
2020/1/4 14:00,0.245192308,0.289473684,0.426282051,0.259259259,0.292,0.227973568
2020/1/4 15:00,0.240384615,0.307017544,0.381410256,0.222222222,0.284,0.234030837
2020/1/4 16:00,0.259615385,0.263157895,0.519230769,0.222222222,0.344,0.262114537
2020/1/4 17:00,0.274038462,0.254385965,0.46474359,0.259259259,0.364,0.296530837
2020/1/4 18:00,0.269230769,0.228070175,0.5,0.259259259,0.344,0.273678414
2020/1/4 19:00,0.442307692,0.280701754,0.461538462,0.222222222,0.424,0.387665198
2020/1/4 20:00,0.600961538,0.280701754,0.480769231,0.277777778,0.416,0.380506608
2020/1/4 21:00,0.278846154,0.362573099,0.403846154,0.234567901,0.288,0.242474302
2020/1/4 22:00,0.230769231,0.263157895,0.474358974,0.259259259,0.336,0.283039648
2020/1/4 23:00,0.177884615,0.429824561,0.365384615,0.185185185,0.236,0.193006608
2020/1/5 0:00,0.125,0.368421053,0.352564103,0.222222222,0.256,0.231277533
2020/1/5 1:00,0.144230769,0.394736842,0.358974359,0.166666667,0.236,0.204845815
2020/1/5 2:00,0.225961538,0.359649123,0.516025641,0.277777778,0.3,0.25660793
2020/1/5 3:00,0.177884615,0.385964912,0.432692308,0.240740741,0.244,0.221365639
2020/1/5 4:00,0.495192308,0.280701754,0.477564103,0.277777778,0.444,0.432819383
2020/1/5 5:00,0.444711538,0.307017544,0.488782051,0.287037037,0.414,0.36839207
2020/1/5 6:00,0.394230769,0.333333333,0.5,0.296296296,0.384,0.303964758
2020/1/5 7:00,0.350961538,0.280701754,0.5,0.277777778,0.428,0.392070485
2020/1/5 8:00,0.322115385,0.385964912,0.483974359,0.296296296,0.352,0.292951542
2020/1/5 9:00,0.324519231,0.368421053,0.486378205,0.300925926,0.357666667,0.296875
2020/1/5 10:00,0.326923077,0.350877193,0.488782051,0.305555556,0.363333333,0.300798458
2020/1/5 11:00,0.329326923,0.333333333,0.491185897,0.310185185,0.369,0.304721916
2020/1/5 12:00,0.331730769,0.315789474,0.493589744,0.314814815,0.374666667,0.308645374
2020/1/5 13:00,0.334134615,0.298245614,0.49599359,0.319444444,0.380333333,0.312568833
2020/1/5 14:00,0.336538462,0.280701754,0.498397436,0.324074074,0.386,0.316492291
2020/1/5 15:00,0.338942308,0.263157895,0.500801282,0.328703704,0.391666667,0.320415749
2020/1/5 16:00,0.341346154,0.245614035,0.503205128,0.333333333,0.397333333,0.324339207
2020/1/5 17:00,0.34375,0.228070175,0.505608974,0.337962963,0.403,0.328262665
2020/1/5 18:00,0.346153846,0.210526316,0.508012821,0.342592593,0.408666667,0.332186123
2020/1/5 19:00,0.348557692,0.192982456,0.510416667,0.347222222,0.414333333,0.336109581
2020/1/5 20:00,0.350961538,0.175438596,0.512820513,0.351851852,0.42,0.34003304
2020/1/5 21:00,0.211538462,0.228070175,0.467948718,0.259259259,0.304,0.250550661
2020/1/5 22:00,0.201923077,0.157894737,0.467948718,0.222222222,0.344,0.283039648
2020/1/5 23:00,0.221153846,0.140350877,0.448717949,0.259259259,0.344,0.269823789
2020/1/6 0:00,0.201923077,0.204678363,0.44017094,0.24691358,0.309333333,0.250917768
2020/1/6 1:00,0.25,0.280701754,0.403846154,0.259259259,0.312,0.241740088
2020/1/6 2:00,0.192307692,0.280701754,0.384615385,0.259259259,0.312,0.261013216
2020/1/6 3:00,0.254807692,0.307017544,0.375,0.240740741,0.296,0.236784141
2020/1/6 4:00,0.298076923,0.271929825,0.362179487,0.259259259,0.396,0.332599119
2020/1/6 5:00,0.163461538,0.543859649,0.282051282,0.185185185,0.168,0.1530837
2020/1/6 6:00,0.158653846,0.473684211,0.288461538,0.166666667,0.18,0.152257709
2020/1/6 7:00,0.158653846,0.5,0.243589744,0.148148148,0.148,0.12472467
2020/1/6 8:00,0.139423077,0.532894737,0.256410256,0.143518519,0.13,0.109512665
2020/1/6 9:00,0.120192308,0.565789474,0.269230769,0.138888889,0.112,0.094300661
2020/1/6 10:00,0.158653846,0.429824561,0.304487179,0.148148148,0.12,0.082323789
2020/1/6 11:00,0.163461538,0.298245614,0.307692308,0.185185185,0.208,0.143722467
2020/1/6 12:00,0.173076923,0.307017544,0.288461538,0.166666667,0.168,0.117015419
2020/1/6 13:00,0.158653846,0.271929825,0.349358974,0.148148148,0.224,0.161618943
2020/1/6 14:00,0.274038462,0.245614035,0.375,0.166666667,0.28,0.208975771
2020/1/6 15:00,0.25,0.201754386,0.387820513,0.166666667,0.276,0.201817181
2020/1/6 16:00,0.466346154,0.166666667,0.397435897,0.185185185,0.356,0.253028634
2020/1/6 17:00,0.173076923,0.403508772,0.294871795,0.148148148,0.096,0.052312775
2020/1/6 18:00,0.259615385,0.157894737,0.365384615,0.148148148,0.28,0.181718062
2020/1/6 19:00,0.275641026,0.192982456,0.373931624,0.160493827,0.28,0.209067548
2020/1/6 20:00,0.206730769,0.289473684,0.317307692,0.111111111,0.16,0.106277533
2020/1/6 21:00,0.197115385,0.298245614,0.320512821,0.12962963,0.18,0.134636564
2020/1/6 22:00,0.206730769,0.245614035,0.330128205,0.12962963,0.184,0.136839207
2020/1/6 23:00,0.375,0.192982456,0.33974359,0.148148148,0.256,0.213656388
2020/1/7 0:00,0.245192308,0.157894737,0.426282051,0.12962963,0.252,0.169328194
2020/1/7 1:00,0.375,0.166666667,0.455128205,0.203703704,0.356,0.268171806
2020/1/7 2:00,0.341346154,0.175438596,0.378205128,0.166666667,0.348,0.29185022
2020/1/7 3:00,0.442307692,0.157894737,0.439102564,0.203703704,0.372,0.330396476
2020/1/7 4:00,0.28525641,0.222222222,0.397435897,0.135802469,0.256,0.193281938
2020/1/7 5:00,0.221153846,0.263157895,0.391025641,0.148148148,0.192,0.140969163
2020/1/7 6:00,0.381410256,0.18128655,0.420940171,0.185185185,0.322666667,0.257892805
2020/1/7 7:00,0.134615385,0.526315789,0.230769231,0.074074074,0.112,0.085352423
2020/1/7 8:00,0.158653846,0.464912281,0.310897436,0.092592593,0.124,0.098843612
2020/1/7 9:00,0.3125,0.201754386,0.451923077,0.166666667,0.376,0.325715859
2020/1/7 10:00,0.221153846,0.245614035,0.400641026,0.148148148,0.252,0.201817181
